Anagram Sum of 10 Digits is computed. 76.9GB after general compression. 
141x  5897764   782860  5695389  5726711  2266346  5705650  5747609  5986134  5256902  6846779
142x 18818697  5350001  5952808 18801845  6154697 18761320 18918408 19024973 19169214 21572542
143x 19901605  6189701 18853591  6282497  6811686 20229989 19647494 19574468 19046676 22925135
144x  7253081  2224406  6201290  6643950  1215103  7116241  7491305  6762475  6545625  9978313
145x 21049402  5392996 18406024 20020018  7054357  7549599 20459590 19638517 19169453 22991167
146x 21176303  6117405 18944127 19988315  7521070 20390169  7819421 20016412 20025512 23424317
147x 19816940  5942951 18817336 19143356  6925210 19147715 20079663  6713853 17866799 22327930
148x 18501288  4993766 17758246 19534860  6382301 18474311 19981781 18298687  5702358 21883533
149x 19374049  5632794 19523434 21210627  9073877 22946425 24864938 23672981 23473352 13748214
150x 10510412  6617651 18973543 21793702 21337632  7889210 19832879 18543474 17706456 19026005
151x  5649405   647026  4861272  5926428  5033967  2323283  5900716  5359769  4910556  6804478
152x 17346494  4834324  4967928 17759544 17360748  5851164 18025571 18034152 17496710 19660644
153x 19449588  5983236 17497291  6442937 19290659  7308347 19726384 20132906 18754521 23103642
154x 19864298  5496123 17719903 19427976  6651849  6962787 20047356 18816483 17838479 21996677
155x  8030635  2318860  5700655  7061458  6968315  1374393  6750688  7562905  6464570  8929907
156x 20045134  5677631 17865722 19099430 19704449  6813955  6349291 18828437 18515399 20278302
157x 19256564  5538862 17712637 19856257 19168108  7609640 19177254  7517688 18551165 23213791
158x 17686034  4921222 16890922 18264782 17987458  6308820 18109776 18738316  5433643 19999695
159x 18243568  5689453 18164325 20578207 20888146  9198670 21754109 24115384 21947634 12739085
160x  9448955  6047990 18765102 19024787 20175452 19288308  6149969 17959214 17017730 17896695
161x  5078550   607809  4831706  5015629  5362696  5468370  2020635  5238234  5234805  6397494
162x 17238216  4819310  5027140 17030661 17870375 17273231  6265250 17297037 17094143 19766445
163x 18160825  5344657 16644239  5818900 18147176 18201503  6026820 18412229 17376795 20015396
164x 19139835  5094773 17537850 17594376  6877447 19178880  7349653 18658956 19039282 22010365
165x 19469656  5596378 17028225 18198829 19066975  6510374  6191116 18503984 17880092 20127707
166x  6354017  1953616  6051145  6081442  7111555  6544318  1108576  5824428  6501272  7691559
167x 18310144  4961948 16414824 17882211 18666934 18500735  5940168  6011391 18438897 21262289
168x 18426807  5574539 17076598 18094540 18863489 18451535  6262188 18564890  6431178 20233665
169x 17246463  5174130 17994770 18904974 20779112 20704052  8156919 22344835 22700291 12044565
170x  9196774  5961981 17819297 18797579 18836495 18279505 18051186  6204087 17559705 18549692
171x  5182020   660779  4689619  5005850  5341241  5283757  4962977  2186721  5082615  7019831
172x 16730365  4638629  4699311 16235806 17543305 17284637 16748044  5560951 17356711 20376069
173x 18292323  5125581 15882431  5768026 17401464 18542886 17754414  6454765 17286567 21478909
174x 18280420  5391610 17333322 17486283  6355806 18254624 18563979  6584660 16589299 20971098
175x 19055906  4986780 17266259 18345827 18213165  7477966 18776522  7483550 17945998 22781585
176x 18572461  5215191 16936346 17856821 18387101 18559806  6054373  6033491 17752160 21205082
177x  6648909  2157408  5571650  6288902  6698888  7418857  6414202  1225233  5853416  9635345
178x 18082556  4858928 16262003 17221916 16399672 17626390 18282877  6088131  6445943 21425819
179x 19142718  6230747 19731106 20970420 21018947 23216455 22700674 10372161 23701218 15531751
180x  8854215  5682145 17152746 17345528 17426384 16664819 17578867 17564119  5570764 18369080
181x  4672753   588264  4340384  4724259  4201098  4441124  5206901  4724220  1841970  6301628
182x 16504496  4341116  4220019 14869104 15835178 15195948 16207602 15774343  5189552 18075829
183x 16679234  4900801 14833316  5056416 16514063 16598646 16406556 16641823  5185265 18261512
184x 16737193  4260681 16188850 15727911  5663358 16179828 18021219 16243003  4876084 19110139
185x 16882539  4188577 14864231 16260055 16015977  5743800 16724549 17400120  4902989 18449161
186x 17081694  4692948 15581500 15818486 17879328 16939102  5984922 17468437  6145619 19246193
187x 17693832  4730969 15791198 16039716 16262447 17012830 17189655  5766098  5575680 20394324
188x  5557261  1675258  4642488  5033281  4821408  4675970  5649159  5765039   760084  6591420
189x 17569429  4720213 16870301 16643641 17784176 18017447 18691383 20510390  7207997 11161898
190x  8090974  5407183 15902764 15929568 16912067 16497428 16162528 17634966 16496724  7858062
191x  5649909   646374  4455274  4255367  4380503  4835501  4654260  5558212  4938321  3289593
192x 17238801  4947867  5119636 15315663 16906274 15895782 16453933 18094944 16748666  8564169
193x 16546905  4768438 15640779  5065854 16724896 17645796 16944446 18989075 16250507  9095877
194x 18172942  4903683 17616946 17448701  7142351 18846537 20155279 19841741 17630556  9869069
195x 19283025  5543538 16897390 18628736 19880903  8038911 19242293 21533415 17784468 10063537
196x 18644757  5441313 17689037 17989822 21119940 19668547  7423509 20117672 18762288  9623191
197x 19761078  6067804 19431030 20008987 21129347 22573090 21353633  9478686 20124339 12961200
198x 18097488  5622309 17894438 17510998 18818520 18431128 19665352 20603677  6580868  9664779
199x  8646255  3405065  9671874  9455325 10797593 11468986 11277153 14256702 11413466  4670613
200x  3175912  9028717  3937299  8755746 10348570  8554335  8570918  8297599  6985818  8416260
201x  7275076  5426092  5678730 15533390 17435166 16675187 16809040 17698526 16070181 18587389
202x  3033890  5416933  1396697  6158532  8000974  6595837  6746523  6875799  5388967  7741116
203x  6926206 14503414  5635336  5913451 17980645 18007113 17852793 17448485 15704211 19317774
204x  7522165 16033770  6825378 17307383  7984912 18930311 18980840 19083827 16455837 22119109
205x  7199662 15223839  5790317 16737337 17685249  6084587 17069533 17505472 15049152 18457045
206x  6822636 15088927  5693492 16282846 17872695 16382938  6311737 17204652 15708936 20127944
207x  6387157 14832280  5421818 15480289 16555031 16580514 16287327  5995985 15703565 19654162
208x  5816944 13260087  4617523 13652853 14837342 14086687 14798980 14885201  4215498 17238599
209x  5944089 14568736  5137401 15640907 17055880 17170503 18100904 18762992 17126734 10154407
210x  7034120  5109955  5042232 13778470 14494690 14406965 14530145 14304244 12866955 15467709
211x  4653362   476086  1684637  3769327  3887478  4006296  4186160  3975286  3540771  4707337
212x  4475184  1459853   627300  4007883  4926576  4496928  4633951  4395123  3998157  5380176
213x 13207449  3842751  3789179  3939383 13626739 14155994 13973282 13985584 12851226 15466674
214x 13830434  3701976  4638521 13275968  4789954 14267284 15280970 14770120 13043577 16259623
215x 14275365  3783233  4163158 13949000 13948218  4930161 14532934 15404400 13368237 16398656
216x 14409670  4008036  4313584 13636114 15249813 14455256  5271228 14139216 14081069 16716579
217x 13494003  3722970  3954718 13356015 14382882 15530903 14381943  5158403 13352944 17985669
218x 13300684  3283540  3391535 12353581 13073938 13346782 14163361 13290907  3815765 14882695
219x 13900907  3998915  4399611 14364651 15266289 16410800 16792442 18216630 16074375  9367865
220x  2841147  4877730  1085309  4976930  5759807  5204652  5261721  4742515  4121244  5040819
221x  4269485  1486487   562249  3655463  4295472  4060993  4254306  3838119  3417494  4666541
222x   897114   508697    40424   577419   880620   827721   806169   836121   712312  1280759
223x  4509008  3353492   615217  1599559  4696097  4946694  5093420  4897885  4916071  5744569
224x  4983196  4232665   887750  4785429  2377618  5608790  5742486  6673210  4730826  7048939
225x  5861224  4362083   936065  5192492  5581937  2563678  5829200  5813344  5543621  6623275
226x  5395154  4387574   860612  5143167  5674862  5730293  2673636  5270762  4641838  7269956
227x  5159837  3943554   822410  4769434  5924706  6116339  5348298  2278754  4583267  6632009
228x  4899236  3572529   752552  4441143  4697047  5551415  4742381  4733674  1796893  5696021
229x  4801659  4432129  1076758  5637530  6194081  7357343  7685256  7882314  6835646  4930839
230x  7314813 14016921  5370951  5488447 14523818 15342816 15552073 14119939 12478766 15397974
231x 12729254  3630664  3676052  3619514 12379517 13087077 13154050 12572174 11922193 14463267
232x  4493495  3421941   594781  1480687  4298717  4881229  4780509  4585282  4337580  6046323
233x  5086198  3619749  1559339   786929  4342037  5198974  5586052  5185788  4442903  6447882
234x 14458411 12288045  4461810  4377595  4752994 14780371 15143950 15183791 14177226 16900323
235x 15523216 13114460  5059601  5134640 14614193  5740278 16219622 16181532 14883745 18861311
236x 15961976 13416804  5034312  5561312 15221772 16215383  7125720 15840785 15500971 19789580
237x 14998680 12575802  4656369  5175221 14659799 16047819 15905882  5391681 14211272 17416397
238x 14215244 11872640  4800201  4237649 14176327 15359746 15274086 14308671  4667966 16400516
239x 14367096 13076673  4907564  6053063 16390502 18668660 20121130 19103127 18178280 10896245
240x  7478570 14249691  5431827 15278801  5618396 14991777 15521268 13920120 13198962 15268990
241x 12588853  3366023  3864962 11913003  3671145 13140235 13070380 13119101 12066467 14715649
242x  4779482  3838508   751604  4157030  1824566  5004754  4832535  5004708  4430067  6203861
243x 13622686 11979549  4126999  4181555  4185262 14309185 14904740 14186388 13547838 16735120
244x  5033376  3612297  1734831  4227311   903207  4864102  4989859  5463013  4350889  7554730
245x 15758387 12797594  5177278 14227100  4761310  5328760 15669738 16005860 14620805 17776763
246x 15711760 13195477  4908706 14400883  4953390 15110556  5872562 15884756 13501221 18297566
247x 15047554 13042624  5347448 14209561  5264234 16295117 15882498  6456583 13956254 18852403
248x 13315232 11130334  4059551 12610190  4124948 13775043 13479993 13948044  3708681 15061087
249x 13622260 12473983  4771472 14579390  6176160 17969083 18725303 20513508 16535167 11038987
250x  8765455 15318756  6795427 16182805 15614485  6741255 15348013 15366903 13464198 15603537
251x 13406617  3675690  4297615 12529879 11890205  4586244 13602202 13646520 12082978 14473959
252x  5213606  3840554   796089  4722749  4656835  2576614  5392928  5701052  5178651  6605934
253x 14314002 12275934  4748501  4738678 12926968  5284628 15148863 14876231 14316238 17009044
254x 13468797 11869678  4584590 12904713  4141143  4747607 14341318 14857243 13312017 16379644
255x  6376876  4513661  2481077  5155839  4696400   954134  5522316  5364841  5669020  6728564
256x 15257422 13317035  5315227 15290403 14391903  5539007  6187459 15073126 15359952 18488518
257x 14257131 12816377  5025808 14360356 13948102  5347665 15149343  5506457 14065288 16634681
258x 14288961 11856640  5063115 13613692 13673489  5582383 14970888 14045346  5140127 15660347
259x 12923356 12326245  4740626 15355966 14606626  6935131 19480082 17770065 17802560  9962598
260x  7624798 13930439  5443745 16008331 14612053 14563541  6116832 13373397 12696324 15642026
261x 12646570  3451080  3758070 12364120 11938098 12402845  4771873 12384809 11759501 14628380
262x  4413136  3433374   636331  4462325  4206561  4716499  2428299  4272029  4174996  6230278
263x 14853202 12302848  4330504  5466130 13473350 14329555  6898951 14565060 14083584 18318983
264x 14714422 11769961  4272547 13638119  4298019 13247198  5489412 14335342 12403560 16758278
265x 14021880 12161565  4340744 13931467 13089927  4837045  5808189 13883067 14021423 17668841
266x  6280527  4700752  2319121  6681043  5736457  5824497  1392460  5698435  4934362  8765759
267x 14023976 11716952  4089901 14058211 14287395 14185174  5648048  5038182 13114267 17397745
268x 13654566 11544007  3736130 13220203 12490478 13859822  4898441 12993335  4379525 16072314
269x 14714040 13512755  5164079 17208560 16937816 18304804  9501086 19516689 18303082 13359775
270x  6431516 12396985  4419367 13162355 13329266 12667339 13622220  4523675 10964274 13572889
271x 10996656  2962976  2954798 10456211 10985898 11304849 11413803  3741648 10560638 13510017
272x  3530992  2609919   521460  3281782  3949468  4029526  3981871  1579976  3364031  5130622
273x 12238316  9974299  3322695  4088795 11760031 12124100 13484803  4160556 11561743 14237842
274x 12141798 10655342  3715017 11358190  4212792 12418207 13422799  5309916 11793266 15415023
275x 13421212 11093126  4130172 11863828 12224896  4305863 13202590  4448630 12454405 14349763
276x 13346389 11613065  3864154 13388248 13418659 13144488  5465184  4539849 12414944 16764975
277x  4526646  3428110  1449353  3814561  4701581  4688010  4521215   721374  3846799  5349867
278x 12118563  9882582  3220648 10747902 11398544 12404019 12601684  3882256  3891048 13287932
279x 12020959 11759544  3764769 12849403 13863503 14983207 16950877  5994351 14907630  9234278
280x  5830633 10983891  4111879 11575312 11386297 12334307 12639553 11197398  3578863 12600642
281x  9991229  2584931  2613466  9572802  9310032 10355142 10967604  9537426  2966548 11890770
282x  3742701  2454800   482298  3279776  3146295  3921417  3654724  3184771  1360203  4332665
283x 10953100  9565784  3107742  3153412 10235938 11461992 12611248 10881181  3630479 12926936
284x 11054579  9517316  3213432 10272168  3335604 11433577 11516426 11524334  3234018 12660065
285x 12199959 10058948  3755969 11630224 11167067  4518366 12962803 11899614  4597702 14057264
286x 12256196 10521054  3576768 12506193 11593658 12632444  4601078 11785392  4121668 15418582
287x 10721383  9721986  3013409 10530365 11123913 11756272 11955646  3674860  3615186 12682446
288x  3870970  2807587  1302290  3409505  3303219  4474195  4050319  3781057   525621  4708700
289x 11359610 10801027  3635389 12420072 12168198 13835637 15539475 13497621  5339756  8253339
290x  5141925 10881800  3453042 11417921 10833417 10762075 13745744 10817238 10959563  6101621
291x 11493570  2981601  2987308 10059297  9854834  9921317 12241585 10307669 10406625  5707235
292x  3500153  3030386   510906  3296203  3152359  3440929  4654858  3701368  3840979  2719766
293x 12828781 10796433  3781713  4409001 11580695 11708215 16140616 12183380 12339163  7150695
294x 12187276 10589865  3676882 12042541  4356027 12275681 15102113 13989950 12062747  7544556
295x 13169279 10809971  4101159 12343689 12681580  4846841 15969595 12737462 13463795  7288548
296x 16392755 13463335  5229963 17549573 16098413 16016253  8936691 16116986 15413553 11079877
297x 13320798 11236511  4257739 13172305 14508042 13590705 16730138  5160558 12703258  7422962
298x 13486132 11505000  4342160 12851959 12995400 13970879 15988748 12789405  4971893  7249156
299x  6374749  6177076  2638054  7917725  7924335  8121038 12445393  9025163  8605006  4000055
300x  2216983  6127094  6471231  3019546  6196098  5727373  7312441  4900423  5170703  6201852
301x  4691360  3850987 10496636  4171515 11534800 11127776 13934973 11413475 10940771 13780031
302x  4639688 10178478  3728055  4269535 11239870 11022885 14336979 11187302 10688668 14082984
303x  2394965  4187166  4403545  1116404  4790560  4626216  6558471  4417872  3962189  5813562
304x  4847449 10570905 10362371  4426126  4486310 12079538 13536200 11741973 11623920 14257571
305x  4636633  9914115  9921506  4002676 11395253  4134131 13100423 10840542 11330274 13899265
306x  5205986 11504771 11997664  5398655 12297354 12453078  6096422 12621777 12136023 16567774
307x  4150677  9331131  9496160  3865500 10766496  9947041 11803341  3198995 10044298 11756153
308x  3879114  8986400  9238899  3326128 10306768 10767908 11435605 10110216  3159586 13149530
309x  4248878 10055172 10145233  4230583 11932359 12210564 14888723 12091737 12577720  7730388
310x  4419154  3172961  9459350  3128522  9715476  9131814 10179125  8788644  8652769 10491243
311x  2564167   403728  2537508  1080104  2556104  2532445  3058635  2802958  2511245  4024807
312x  8573988  2601547  2338898  2827248  8749484  8354570  9868554  8422131  8529135 10427887
313x  3090612  1237774  2740329   495494  2976379  3026159  3980256  3344640  2938590  4110195
314x  9475744  2732354  8516173  3008110  3312984  9338591 11115076  9850864  9561403 12038360
315x  9504061  2650281  8009044  3126372  9293472  3433075 10343624  9906160  9654224 11953489
316x  9563452  2916819  9019745  3819329 10578651 10194219  4528299 10243679 10297487 13272171
317x  8985416  2612462  7792204  3214345  9890501  9724131 10268668  3270500  9046798 12195363
318x  8953316  2556802  7801486  3047485  9220831  9643915  9796427  9054876  2850796 10662251
319x  9488811  3220056  9015881  3536032 11285552 11691266 13150269 12524964 11759709  7706224
320x  4198905  8763420  3125936  3090670  9381683  8712917  9208856  8344050  8427195  9841529
321x  7919534  2423336  2100794  2480850  8100758  7632565  8129838  7913121  7721060  9841884
322x  2651313  1972314   285156   865394  2525369  2399825  2601488  2513987  2523504  3429322
323x  3155891  2454647   911691   470001  2656894  2885439  3699031  3136948  2773594  3876439
324x  8963096  8023266  2489524  2635986  2945464  8816707  9605142  9773564  8996188 11032036
325x  9047687  7624398  2609926  2849293  8623836  2957640  9892371  9158988  9398902 11253292
326x  9409526  8039733  2612761  3716148  9406214  9606261  4633397  9900969  9303940 13155182
327x  9336784  7692232  2524012  3225422  9500106  9131426  9827011  3229542  8733751 10882837
328x  8784407  7544705  2534120  2624207  8672504  9399899  9180798  8954109  2805909 10520178
329x  9135912  8558726  2989507  3720920 10530583 11080039 13566185 12056482 11435276  7335172
330x  2305946  3743708  3877781   877719  3815195  3665059  4219968  3705754  3132791  4081315
331x  2685381  1094645  2499472   454366  2758255  2761470  3404404  3396273  2978652  4013321
332x  3048367  2659793   958087   502732  2697221  2845861  3532068  3281712  2689483  3893330
333x   848694   506368   504416    47372   510484   526436   726736   741844   526106   945220
334x  3458025  2735488  2617280   504283  1180504  3282431  3744919  3796542  3801911  4283726
335x  3468274  2776226  2766296   532465  3240364  1400050  3820955  4334260  3345879  5246907
336x  3800362  3031429  3218762   714501  3581291  3687341  1946962  4094681  3540356  5203760
337x  4350854  3199160  3322776   736005  3697327  4036705  3863158  1917922  3571701  4812280
338x  3267480  2906870  2663896   504234  3442904  3393413  3193156  3532907  1075405  4024854
339x  3531484  3016564  3214365   815777  4206081  5089232  5337132  5784173  4799813  3764009
340x  4824705  9435750  9313856  3729299  3824958  9807999  9346199  9143584  9367488 11016271
341x  8288614  2380078  7527791  2501190  2873849  8462320  8318398  9169323  8407663 10874397
342x  8572896  7701351  2557564  2517660  2740857  8105125  8204738  8646914  8378118 10108836
343x  3363723  2655613  2482130   456845  1037341  3079492  3059644  3550244  3148211  4374422
344x  3497266  2788434  2634581  1068619   603212  3596017  3538087  3731775  4087833  5455726
345x 10252256  8340312  8101388  3159725  3645649  3605732  9532261 10143091 10730448 13015506
346x  9415077  8262283  7765299  3085084  3460150  9273161  3442414  9691641  9835500 12066620
347x 10145186  8579342  8812345  3704163  3690840  9859778  9391827  3844099 10384078 11516080
348x 10103271  8740849  8633506  3638506  4128722 10755020  9832430 10765484  4119600 12757062
349x  9808653  9107504  8843246  3494475  4900659 12701176 12315308 12601653 13872017  8001702
350x  5074581  9272528  9200045  3490759 10453910  4114109  8559018  8930411  9442882 10740593
351x  8077789  2173262  6914958  2490167  8147713  2902171  7808918  8319008  8477548 10693770
352x  7935553  6955232  2285735  2503137  7790744  2691695  7367816  8383551  8249951 10011846
353x  3104754  2520470  2582249   447418  2834054  1187187  2679223  3710342  3143837  4415275
354x  9306275  8238700  7788985  2975198  3449361  3483056  8659946  9328748 10401072 12524213
355x  4218865  2913435  2789635  1301835  3540229   770408  3019108  3579005  3435360  5601164
356x  8742636  7544237  7433799  2989717  8577548  3075160  3111020  9190538  9066626 11991834
357x  9496904  8106871  8276594  4112571  9480176  3565576  9047117  4221925  9612315 12731200
358x  9248578  8089098  8097617  3102421  9933321  3447185  8628978  9552611  3213905 11968231
359x 10205561  9427812  9327957  4251002 12236894  5999691 13100277 14343749 13496408 10190402
360x  4247572  7845004  8133249  3239677  8408001  8693369  2644045  7774281  7413792  9648486
361x  6620370  1788910  6097847  2039345  7075283  6983315  2089554  7385832  7031801  9573226
362x  6682968  5959938  1780788  2372252  6748320  6919672  2327650  7337509  7037914  9561674
363x  3042973  2273939  2396741   501050  2551054  2716219  1039163  3296229  2563831  3852514
364x  8010836  6695457  6816540  2628282  2758395  7973706  2425505  8017509  8790888 10229699
365x  8064679  6909045  6537000  2655779  7893372  2870406  2510979  8168248  8017760 11233650
366x  2357677  1783797  1978077  1002308  2311677  2463919   448835  2599335  2558385  4118308
367x  8009196  6333578  6354507  2800376  7653427  7653779  2314136  2560058  7702842  9088913
368x  7634943  6667426  6412767  2334883  8072067  7928607  2138196  7513575  2555850  9500301
369x  7918082  7189281  7400240  2951524  9372372 10597067  3954858  9970846 10522900  7032909
370x  3582739  6602733  6903094  2753790  8087477  7665300  6559445  2321493  7172872  8038355
371x  5665194  1451689  5147933  1644162  6380850  6403495  5462859  1950331  6371911  7909819
372x  5795637  5088124  1612876  1820072  6505802  6475353  5572806  2010916  6314851  7856219
373x  2309808  1573203  1715870   337092  2336658  2675641  2129292  1119932  2404494  3243873
374x  7184181  6357298  6162098  2271166  2551612  7506906  6257139  2395845  8129872  8698828
375x  7510689  6228074  6356016  2462734  7204106  2836649  6699593  2867470  7650113 10227658
376x  5770142  5249655  5130394  1932031  6139039  6487480  1786809  1947984  6639434  7697326
377x  2141110  1618027  1600623   886113  2135751  2564201  1912815   360610  2272531  3210844
378x  6667905  5974343  5728290  2034989  7466742  7280951  6605747  2344698  2664182  8397389
379x  6481690  6649878  6335894  2322595  8132780  9789804  7859591  3453740  9144925  5728977
380x  3437213  6748807  6640920  2255306  8240058  7432903  6281055  6138021  2428810  8154225
381x  5764373  1674409  5261402  1785824  6866360  6609089  5651901  5717691  2181847  8264937
382x  6446823  5335416  1800723  1583796  6701313  6292538  5314277  5267442  2033768  7203589
383x  2055417  1827530  1475415   251754  2382982  2252621  1712038  2032850   802999  2740467
384x  7886805  6670665  6633095  2270700  3499485  8370330  7048686  7194358  3506386 10120937
385x  7783111  6315755  6347855  2216285  8431774  2904144  6441258  6855713  2595302 10339760
386x  5795151  4978728  5041904  1623091  6987167  6556855  1622156  5766813  2248137  8098888
387x  6575713  5150298  5295338  1871419  7168592  6721927  5504627  1936366  2461852  7820977
388x  2597740  2036643  2110462   802993  3244745  2726826  2077503  2644053   399492  3452752
389x  7612158  6807954  6979435  2469157 10034194 10700490  8319258  8687072  3958167  6364374
390x  3190923  6513630  6210537  2083514  7504957  8627639  6070708  5766753  7336721  4259704
391x  6728202  1808125  5581771  1622319  6660991  7686866  5425182  5614332  6863837  4189048
392x  6304183  5957484  1743786  1667161  6503269  7408990  5427225  5726987  6695744  3897917
393x  2254396  1740697  1834655   312822  2248571  2936617  2078643  2315277  2529362  2022185
394x  8675951  7302159  7178942  2615643  3563972 10223539  7474403  7245700 10087230  5599969
395x  9921371  8433543  8182448  3158898 10770148  5306686  9090477  9379982 10229152  8088163
396x  7241279  6094927  6055073  2414417  8016203  9453073  2620828  6490049  7954721  4938666
397x  7224878  5831285  6047150  2407850  7546010  9342099  6306084  2366687  7522250  4635929
398x  8544690  7719085  7533484  2731853 10329810 10598257  7722379  7521952  3632334  5463947
399x  4380640  4295296  4002552  1853046  6131409  8515424  5633039  5338719  6351599  2864205
400x  1504173  3832566  3677425  3703300  2044420  4267682  2677765  2405553  4336410  4676350
401x  3197871  2316081  6429111  6140573  2953960  7717057  5333822  5340355  8142526  8694292
402x  2941543  6112364  2337700  5855682  2883393  7176813  5383011  5306055  7079187  8607223
403x  2488507  5714111  5574312  2071005  2742036  7560020  5644317  5257217  7483130  8900849
404x  1549280  2688521  2683366  2735697   774796  4061891  2591086  2260607  3893189  4871462
405x  3462567  6748786  6285264  6773474  3622286  3594511  6610216  6108105  8099783 10975526
406x  2134568  4767737  4834860  4877821  2375396  6217438  1525767  4902034  6062712  7219482
407x  2029964  4510481  4490792  4602659  2026232  5720077  4540345  1342453  5873371  6952389
408x  2806350  6152799  6065041  6158796  3370222  7489532  6006664  6023551  3123206 10178695
409x  3191331  6811528  6607908  6851732  3848091 10048345  7293574  7273739  9752689  7054829
410x  3206550  1976070  5594565  5567448  2644226  6326410  4388396  4201000  5902412  7456954
411x  1702255   188103  1649039  1400548   692413  1652381  1102465  1137287  1636190  2443968
412x  5066113  1425556  1556855  4587671  1997455  5476105  4021622  4103257  5563265  7088504
413x  4917523  1530143  4589977  1363568  2072007  5632032  4005416  4028594  5255870  6788850
414x  2422665   639587  2008903  1994866   445489  2544004  2013653  1814796  2667898  3546625
415x  5802282  1552701  5118434  5485309  2462704  2759411  5080170  5199783  6171993  8740645
416x  4330397  1061804  3824583  3735995  1866832  4926222  1158549  3778505  4837957  6100164
417x  4133722  1038488  3768065  3884808  1764924  4952234  3807644  1296250  4680143  6382505
418x  5220159  1369412  4841227  4761297  2522405  5712048  4859581  4702176  2040570  7647224
419x  6275553  1984953  5996587  5810870  3112760  8464674  6395748  6685388  8191291  6137895
420x  2374344  4822293  1847409  4469684  2377185  5124856  3711304  3683204  4676933  6238413
421x  4096589  1200029  1310466  3839879  1659950  4579897  3313478  3372914  4173060  6174291
422x  1450278  1225256   248453  1220316   698138  1723874  1037587  1210235  1367910  2319688
